Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
apex-legends-game-poster,Apex Legends Game Poster,Size,A4,,,,,"",,,Indiranagar,,0,0,0,999,999,
counter-strike-cs-game-poster,Counter Strike (CS) Game Poster,Size,A4,,,,,"",,,Indiranagar,,0,0,0,999,999,
custom-personalised-poster,Custom Personalised Poster,Size,A4,,,,,"",,,Indiranagar,,0,0,0,998,998,
custom-personalised-poster,Custom Personalised Poster,Size,A5,,,,,"",,,Indiranagar,,0,0,0,985,985,
custom-personalised-farewell-photo-frame,Custom Personalised Farewell Photo Frame (with frame),Size,A4,,,,,,,,Indiranagar,,0,0,0,998,998,
custom-personalised-farewell-photo-frame,Custom Personalised Farewell Photo Frame (with frame),Size,A5,,,,,,,,Indiranagar,,0,0,0,995,995,
polaroid-strips-custom,Polaroids Strips Customised,Quantity,4 Strips,,,,,,,,Indiranagar,,0,0,0,998,998,
polaroids-prints-customized,Polaroids Prints Customized,Quantity,6 Polaroid,,,,,,,,Indiranagar,,0,0,0,998,998,
calendar-2026-personalised-custom,Calendar 2026 Personalised Custom,Size,A5,,,,,,,,Indiranagar,,0,0,0,995,995,
marvel-avengers-poster-pack,Marvel Avengers Poster Pack (8),Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
marvel-avengers-poster-pack,Marvel Avengers Poster Pack (8),Size,A5,,,,,"",,,Indiranagar,,0,0,0,999,999,
fridge-magnets-personalized-pack-of-4,Fridge Magnets Personalized Pack of 4,Title,Default Title,,,,,,,,Indiranagar,,0,0,0,998,998,
satoru-gojo-jujutsu-kaisen-anime-poster,Satoru Gojo Jujutsu Kaisen Anime Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
satoru-gojo-jujutsu-kaisen-anime-poster,Satoru Gojo Jujutsu Kaisen Anime Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
premium-business-card,Premium Business Card,Title,Default Title,,,,,"",,,Indiranagar,,0,0,0,999,999,
personalised-wallet-card,Personalised Wallet Card,Title,Default Title,,,,,,,,Indiranagar,,0,0,0,995,995,
satoru-gojo-jujutsu-kaisen-anime-poster-copy,Satoru Gojo Jujutsu Kaisen Anime Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
satoru-gojo-jujutsu-kaisen-anime-poster-copy,Satoru Gojo Jujutsu Kaisen Anime Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
satoru-gojo-jujutsu-kaisen-anime-poster-1,Satoru Gojo Jujutsu Kaisen Anime Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
satoru-gojo-jujutsu-kaisen-anime-poster-1,Satoru Gojo Jujutsu Kaisen Anime Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
ms-dhoni-poster,MS Dhoni Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
ms-dhoni-poster,MS Dhoni Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
ms-dhoni-poster-1,MS Dhoni Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,998,998,
ms-dhoni-poster-1,MS Dhoni Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
god-shiva-poster,Lord Shiva Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
god-shiva-poster,Lord Shiva Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-rama,Lord Shri Rama Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-rama,Lord Shri Rama Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-shri-krishna-poster,Lord Shri Krishna Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-shri-krishna-poster,Lord Shri Krishna Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-shri-krishna-poster-1,Lord Shri Krishna Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-shri-krishna-poster-1,Lord Shri Krishna Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
suryaputra-karna-mahabharata-poster,Suryaputra Karna | Mahabharata | Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
suryaputra-karna-mahabharata-poster,Suryaputra Karna | Mahabharata | Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-shri-rama-poster,Lord Shri Rama Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-shri-rama-poster,Lord Shri Rama Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
abhimanyu-in-kurukshetra-mahabharata-poster,Abhimanyu in Kurukshetra | Mahabharata | Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
abhimanyu-in-kurukshetra-mahabharata-poster,Abhimanyu in Kurukshetra | Mahabharata | Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-hanuman-loard-shiva-mahabharata-poster,Lord Hanuman with Lord Shiva | Mahabharata | Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
lord-hanuman-loard-shiva-mahabharata-poster,Lord Hanuman with Lord Shiva | Mahabharata | Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
mahadev-in-dhyan-lord-shiva-in-dhiyan-poster,Mahadev in Dhyan | Lord Shiva in Dhiyan | Poster,Size,A4,,,,,,,,Indiranagar,,0,0,0,999,999,
mahadev-in-dhyan-lord-shiva-in-dhiyan-poster,Mahadev in Dhyan | Lord Shiva in Dhiyan | Poster,Size,A5,,,,,,,,Indiranagar,,0,0,0,999,999,
desk-calendar-2026,Desk Calendar 2026,Variant,Flower,,,,,,,,Indiranagar,,0,0,0,994,994,
magnetic-calendar,Magnetic Calendar 2026 Set of 2,Title,Default Title,,,,,,,,Indiranagar,,0,0,0,998,998,
personalized-love-photo-frame-for-couples-gifting,Personalized LOVE Photo Frame for Couples & Gifting,Title,Default Title,,,,,"",,,Indiranagar,,0,0,0,999,999,
love-vouchers-gift-set-romantic-personalized-coupon-cards,Love Vouchers Gift Set – Romantic Personalized Coupon Cards,Title,Default Title,,,,,"",,,Indiranagar,,0,0,0,999,999,
king-queen-of-my-heart-couple-love-cards-set-of-2,King & Queen of My Heart – Couple Love Cards (Set of 2),Title,Default Title,,,,,"",,,Indiranagar,,0,0,0,999,999,
pun-love-cards-gift-box-24-cute-funny-cards-for-couples,Pun Love Cards Gift Box – 24 Cute & Funny Cards for Couples,Title,Default Title,,,,,"",,,Indiranagar,,0,0,0,999,999,
blooming-love-3d-pop-up-flower-bouquet-card,Blooming Love – 3D Pop-Up Flower Bouquet Card,Title,Default Title,,,,,"",,,Indiranagar,,0,0,0,982,982,
our-song-personalized-spotify-love-card,Our Song – Personalized Spotify Love Card,Title,Default Title,,,,,"",,,Indiranagar,,0,0,0,999,999,
